# Receptor           |   Active state                |   Inactive state         
#                    |   Multi   Orig   Templ seq_id |   Multi   Orig   Templ seq_id 
#                    
O95013_OR4F21        |   87.84   88.92  8f76_A  26.9 |   82.66   88.68  3uzc_A  19.6
O95047_OR2A4         |   89.85   84.86  8f76_A  27.7 |   82.30   85.54  3uzc_A  18.1
O95221_OR5F1         |   92.96   91.63  8f76_A  26.8 |   89.45   91.36  2r4s_A  16.9
O95222_OR6A2         |   91.39   88.43  8f76_A  25.4 |   89.66   88.30  3uzc_A  18.7
O95371_OR2C1         |   90.89   88.38  8f76_A  28.8 |   90.31   88.42  7bvq_A  19.9
O95918_OR2H2         |   91.32   93.00  8f76_A  27.9 |   90.72   93.38  6tos_B  19.2
P0C604_OR4A8         |   89.48   85.59  8f76_A  28.3 |   84.55   86.36  3vg9_A  19.0
P0C617_OR5AL1        |   93.21   88.16  8f76_A  23.7 |   87.32   88.51  3uzc_A  18.5
P0C623_OR4Q2         |   90.36   91.58  8f76_A  27.7 |   88.57   90.72  2r4s_A  18.5
P0C626_OR5G3         |   90.82   90.88  8f76_A  26.8 |   82.24   91.09  7bvq_A  17.5
P0C628_OR5AC1        |   92.33   90.75  8f76_A  27.7 |   84.65   91.28  2r4s_A  18.2
P0C629_OR10J4        |   90.34   85.88  8f76_A  27.0 |   86.86   85.89  6tos_B  16.7
P0C645_OR4E1         |   90.11   92.72  8f76_A  28.9 |   91.05   92.69  7bvq_A  18.4
P0C7N1_OR8U8         |   94.36   92.87  8f76_A  29.5 |   91.21   92.92  2r4s_A  17.9
P0C7N5_OR8U9         |   93.37   92.72  8f76_A  28.5 |   89.46   92.66  7bvq_A  19.1
P0C7N8_OR9G9         |   92.84   89.94  8f76_A  26.9 |   88.12   89.73  3uzc_A  19.7
P0C7T2_OR2T7         |   89.13   86.26  8f76_A  25.0 |   87.34   84.68  3uzc_A  20.5
P0C7T3_OR56A5        |   94.17   88.09  8f76_A  32.9 |   89.80   89.67  5jqh_A  19.2
P0DN80_OR5H8         |   89.65   90.44  8f76_A  27.9 |   87.97   91.11  7bvq_A  18.8
P0DN81_OR13C7        |   90.50   90.95  8f76_A  32.7 |   86.62   90.45  6tos_B  18.9
P0DN82_OR12D1        |   90.43   91.05  8f76_A  29.7 |   90.26   90.09  3uzc_A  18.8
P30953_OR1E1         |   92.94   92.14  8f76_A  30.9 |   86.64   91.92  3vg9_A  20.7
P30954_OR10J1        |   91.25   91.54  8f76_A  28.4 |   88.27   91.39  6tos_B  17.2
P34982_OR1D2         |   90.69   90.55  8f76_A  28.5 |   90.49   90.58  2ycw_A  21.8
P47881_OR3A1         |   88.55   90.81  8f76_A  27.6 |   89.89   90.06  6me8_B  19.7
P47884_OR1D4         |   88.95   87.27  8f76_A  29.3 |   91.38   88.38  3zpq_B  21.5
P47887_OR1E2         |   93.12   91.86  8f76_A  29.7 |   89.85   91.72  3vg9_A  20.1
P47888_OR3A3         |   90.74   92.78  8f76_A  29.0 |   89.09   92.66  3uzc_A  18.7
P47890_OR1G1         |   91.46   89.50  8f76_A  25.6 |   90.19   89.40  7bvq_A  20.1
P47893_OR3A2         |   89.15   90.75  8f76_A  28.0 |   87.93   91.11  3uzc_A  19.6
P58170_OR1D5         |   91.05   88.32  8f76_A  28.8 |   92.59   88.19  2ycw_A  21.5
P58173_OR2B6         |   91.14   91.52  8f76_A  28.8 |   91.45   91.50  6tos_B  18.5
P58180_OR4D2         |   88.18   92.72  8f76_A  28.0 |   85.02   92.64  3vg9_A  19.5
P58181_OR10A3        |   92.84   92.58  8f76_A  29.6 |   91.37   92.26  3uzc_A  19.7
P58182_OR12D2        |   88.67   89.03  8f76_A  30.0 |   89.15   89.22  3vg9_A  19.5
Q13606_OR5I1         |   90.95   88.71  8f76_A  27.4 |   88.97   88.33  2ycw_A  16.9
Q13607_OR2F1         |   91.24   90.15  8f76_A  30.3 |   89.63   90.11  2r4s_A  19.6
Q15612_OR1Q1         |   92.95   92.17  8f76_A  27.4 |   90.12   92.17  5jqh_A  19.1
Q15615_OR4D1         |   89.47   91.23  8f76_A  28.7 |   87.56   90.93  3vg9_A  19.0
Q15617_OR8G1         |   90.68   92.51  8f76_A  26.7 |   86.55   92.09  6tos_B  18.6
Q15619_OR1C1         |   91.75   91.21  8f76_A  28.7 |   91.82   91.05  3vg9_A  20.7
Q15620_OR8B8         |   90.98   91.88  8f76_A  28.0 |   90.72   91.92  3uzc_A  19.6
Q15622_OR7A5         |   90.15   91.18  8f76_A  26.6 |   86.65   91.10  7bvq_A  19.4
Q5JQS5_OR2B11        |   91.75   92.51  8f76_A  30.0 |   90.41   92.31  3vg9_A  21.1
Q5JRS4_OR10J3        |   86.43   82.00  8f76_A  24.0 |   76.08   82.54  3vg9_A  13.4
Q5TZ20_OR2G6         |   92.27   93.75  8f76_A  27.2 |   90.50   94.03  3vg9_A  19.6
Q6IEU7_OR5M10        |   93.10   92.15  8f76_A  26.7 |   91.00   92.01  3uzc_A  21.6
Q6IEV9_OR4C11        |   88.99   91.81  8f76_A  26.5 |   88.52   91.97  3vg9_A  19.7
Q6IEY1_OR4F3         |   87.77   90.06  8f76_A  26.9 |   86.57   90.13  3uzc_A  19.6
Q6IEZ7_OR2T5         |   92.04   92.48  8f76_A  29.2 |   89.99   91.71  3vg9_A  19.4
Q6IF00_OR2T2         |   89.78   91.18  8f76_A  28.4 |   89.52   90.85  3vg9_A  18.2
Q6IF42_OR2A2         |   91.24   91.90  8f76_A  26.7 |   86.91   91.42  2r4s_A  19.8
Q6IF63_OR52W1        |   91.50   91.24  8f76_A  38.8 |   86.72   91.59  6tos_B  16.9
Q6IF82_OR4A47        |   90.86   92.28  8f76_A  28.5 |   85.08   91.72  3uzc_A  19.7
Q6IF99_OR10K2        |   92.83   89.30  8f76_A  26.0 |   89.22   88.59  3vg9_A  18.9
Q6IFG1_OR52E8        |   92.27   90.70  8f76_A  44.5 |   87.56   91.69  3uzc_A  19.6
Q6IFH4_OR6B2         |   90.64   86.97  8f76_A  28.8 |   89.37   87.14  3uzc_A  20.5
Q6IFN5_OR7E24        |   92.16   92.87  8f76_A  25.4 |   85.77   92.57  6me8_B  19.5
Q7Z3T1_OR2W3         |   92.45   86.33  8f76_A  26.4 |   92.07   86.57  3vg9_A  20.1
Q8IXE1_OR4N5         |   90.49   88.82  8f76_A  26.3 |   87.39   88.21  5n2s_A  18.8
Q8N0Y3_OR4N4         |   90.45   86.19  8f76_A  25.9 |   81.03   84.98  3uzc_A  19.0
Q8N0Y5_OR8I2         |   90.57   91.81  8f76_A  28.7 |   91.68   91.77  3vg9_A  19.4
Q8N127_OR5AS1        |   93.39   91.38  8f76_A  28.1 |   89.49   90.66  2r4s_A  18.5
Q8N146_OR8H3         |   92.63   93.42  8f76_A  29.8 |   89.89   93.07  5jqh_A  19.6
Q8N148_OR6V1         |   92.42   90.07  8f76_A  27.5 |   88.64   89.96  3uzc_A  18.8
Q8N162_OR8H2         |   93.07   92.46  8f76_A  31.7 |   92.05   92.05  2r4s_A  20.5
Q8N349_OR2L13        |   92.32   92.59  8f76_A  25.3 |   87.71   91.74  3vg9_A  18.3
Q8N628_OR2C3         |   93.57   92.37  8f76_A  27.5 |   90.26   92.32  6tq4_B  19.1
Q8NG75_OR5T1         |   93.95   92.47  8f76_A  25.2 |   88.16   92.55  7bvq_A  17.2
Q8NG76_OR2T33        |   90.93   91.65  8f76_A  26.6 |   88.61   91.52  3vg9_A  20.0
Q8NG77_OR2T12        |   92.95   91.17  8f76_A  25.6 |   91.18   91.58  3uzc_A  19.7
Q8NG78_OR8G5         |   94.41   88.88  8f76_A  24.9 |   88.42   90.24  6me8_B  16.8
Q8NG80_OR2L5         |   92.56   91.43  8f76_A  26.0 |   89.86   90.76  4amj_B  19.6
Q8NG81_OR2M7         |   91.32   88.81  8f76_A  26.6 |   89.06   88.01  3uzc_A  19.2
Q8NG83_OR2M3         |   91.08   89.24  8f76_A  27.6 |   89.16   88.91  3vg9_A  19.9
Q8NG84_OR2AK2        |   93.55   90.60  8f76_A  25.1 |   85.32   91.44  3uzc_A  18.5
Q8NG85_OR2L3         |   92.64   91.51  8f76_A  26.3 |   89.62   91.41  2ycw_A  18.6
Q8NG92_OR13H1        |   91.22   91.33  8f76_A  28.6 |   91.90   90.43  7bvq_A  21.1
Q8NG94_OR11H1        |   91.99   87.96  8f76_A  27.3 |   81.20   87.88  3uzc_A  18.4
Q8NG95_OR7G3         |   90.97   92.27  8f76_A  27.9 |   89.60   92.17  3vg9_A  21.5
Q8NG97_OR2Z1         |   90.40   90.03  8f76_A  25.5 |   88.50   89.75  3vg9_A  19.1
Q8NG98_OR7D4         |   91.35   90.37  8f76_A  28.2 |   87.62   90.52  3uzc_A  18.6
Q8NG99_OR7G2         |   90.91   90.69  8f76_A  30.2 |   86.74   90.69  3vg9_A  22.8
Q8NGA0_OR7G1         |   89.93   89.36  8f76_A  28.9 |   88.59   89.40  3uzc_A  21.2
Q8NGA1_OR1M1         |   92.58   90.69  8f76_A  27.8 |   90.67   91.00  6tos_B  19.5
Q8NGA5_OR10H4        |   89.78   90.68  8f76_A  27.5 |   88.12   90.53  3uzc_A  19.9
Q8NGA6_OR10H5        |   90.77   91.42  8f76_A  29.5 |   89.79   91.22  3uzc_A  20.0
Q8NGA8_OR4F17        |   93.55   91.79  8f76_A  28.5 |   87.73   91.99  3uzc_A  20.0
Q8NGB2_OR4C5         |   91.08   91.13  8f76_A  25.5 |   83.01   90.81  7bvq_A  16.6
Q8NGB4_OR4S1         |   91.19   89.69  8f76_A  25.9 |   90.71   90.08  3vg9_A  21.7
Q8NGB6_OR4M2         |   90.24   89.26  8f76_A  28.1 |   85.30   86.79  3uzc_A  18.8
Q8NGB8_OR4F15        |   86.15   88.19  8f76_A  26.3 |   83.23   87.68  5n2s_A  19.2
Q8NGB9_OR4F6         |   88.46   90.40  8f76_A  26.0 |   85.76   90.16  3uzc_A  18.6
Q8NGC0_OR5AU1        |   89.68   87.20  8f76_A  22.7 |   84.86   86.85  3uzc_A  15.5
Q8NGC1_OR11G2        |   92.14   92.04  8f76_A  25.2 |   82.98   91.87  7bvq_A  17.7
Q8NGC2_OR4E2         |   88.83   91.20  8f76_A  26.8 |   90.10   91.09  3uzc_A  19.2
Q8NGC3_OR10G2        |   92.53   90.74  8f76_A  26.8 |   87.57   90.97  3vg9_A  18.7
Q8NGC4_OR10G3        |   91.65   91.44  8f76_A  27.2 |   90.12   91.67  3uzc_A  20.1
Q8NGC5_OR6J1         |   92.20   91.19  8f76_A  24.2 |   90.53   90.03  3uzc_A  18.4
Q8NGC6_OR4K17        |   89.50   87.53  8f76_A  26.7 |   85.84   88.20  3vg9_A  20.0
Q8NGC7_OR11H6        |   90.37   93.35  8f76_A  27.3 |   85.62   93.16  5uig_A  19.1
Q8NGC8_OR11H7        |   91.06   93.48  8f76_A  29.9 |   89.83   93.07  7bvq_A  19.1
Q8NGC9_OR11H4        |   91.92   93.51  8f76_A  27.8 |   83.40   92.86  3vg9_A  19.8
Q8NGD0_OR4M1         |   89.88   92.66  8f76_A  27.8 |   87.46   92.11  7bvq_A  17.6
Q8NGD1_OR4N2         |   89.57   90.16  8f76_A  27.4 |   82.50   90.54  3uzc_A  19.5
Q8NGD2_OR4K2         |   90.75   88.88  8f76_A  25.8 |   90.36   87.56  3vg9_A  18.8
Q8NGD3_OR4K5         |   91.13   88.80  8f76_A  26.6 |   91.35   90.12  3uzc_A  19.2
Q8NGD4_OR4K1         |   91.39   89.25  8f76_A  26.7 |   90.14   88.71  3vg9_A  19.6
Q8NGD5_OR4K14        |   90.13   88.04  8f76_A  26.5 |   89.96   89.70  3uzc_A  20.0
Q8NGE0_OR10AD1       |   88.95   83.73  8f76_A  25.6 |   86.32   84.16  6tos_B  17.7
Q8NGE1_OR6C4         |   88.53   91.95  8f76_A  27.2 |   88.15   91.50  3uzc_A  20.7
Q8NGE2_OR2AP1        |   88.77   91.91  8f76_A  26.5 |   88.44   91.37  3uzc_A  18.8
Q8NGE3_OR10P1        |   90.64   92.15  8f76_A  27.8 |   90.69   92.36  5n2s_A  19.8
Q8NGE5_OR10A7        |   91.42   92.29  8f76_A  27.5 |   91.96   92.25  6tos_B  19.3
Q8NGE7_OR9K2         |   93.86   94.52  8f76_A  25.4 |   91.11   94.78  7bvq_A  17.0
Q8NGE8_OR4D9         |   87.25   88.38  8f76_A  28.3 |   87.24   86.34  3vg9_A  19.7
Q8NGE9_OR9Q2         |   92.16   90.64  8f76_A  27.4 |   89.39   90.34  6tod_A  19.4
Q8NGF0_OR52B6        |   89.85   90.14  8f76_A  39.7 |   86.25   90.50  5jqh_A  18.5
Q8NGF1_OR52R1        |   90.95   88.69  8f76_A  44.1 |   87.67   89.80  6tos_B  18.1
Q8NGF3_OR51D1        |   95.78   91.98  8f76_A  55.2 |   91.26   93.05  3vg9_A  16.0
Q8NGF4_OR5AP2        |   94.23   90.94  8f76_A  26.9 |   87.51   90.91  3uzc_A  19.3
Q8NGF6_OR10W1        |   96.36   88.62  8f76_A  28.2 |   88.82   88.61  3uzc_A  21.0
Q8NGF7_OR5B17        |   90.48   86.98  8f76_A  23.2 |   85.35   87.81  5n2s_A  20.1
Q8NGF8_OR4B1         |   87.12   87.23  8f76_A  27.5 |   87.53   87.53  3vg9_A  19.1
Q8NGF9_OR4X2         |   91.32   85.04  8f76_A  27.4 |   88.89   84.66  3vg9_A  19.8
Q8NGG0_OR8J3         |   93.83   91.96  8f76_A  25.7 |   91.78   92.00  3vg9_A  17.5
Q8NGG1_OR8J2         |   94.43   92.12  8f76_A  26.7 |   90.70   92.31  2r4s_A  19.4
Q8NGG2_OR5T2         |   93.10   90.41  8f76_A  23.4 |   89.81   90.64  3vg9_A  15.9
Q8NGG3_OR5T3         |   89.50   86.73  8f76_A  24.7 |   85.61   86.31  3vg9_A  16.5
Q8NGG4_OR8H1         |   92.40   92.99  8f76_A  30.5 |   87.97   92.95  5jqh_A  20.3
Q8NGG5_OR8K1         |   94.02   93.40  8f76_A  28.5 |   89.27   93.67  3vg9_A  16.9
Q8NGG6_OR8B12        |   92.72   91.89  8f76_A  29.4 |   91.78   91.81  2ziy_A  19.4
Q8NGG7_OR8A1         |   92.12   91.46  8f76_A  24.5 |   84.79   91.46  3vg9_A  18.1
Q8NGG8_OR8B3         |   89.80   90.86  8f76_A  27.5 |   84.82   91.68  3uzc_A  18.2
Q8NGH3_OR2D3         |   92.63   91.75  8f76_A  25.5 |   91.43   91.28  7bvq_A  20.0
Q8NGH5_OR56A1        |   92.63   86.16  8f76_A  31.4 |   84.31   86.98  7bvq_A  18.9
Q8NGH7_OR52L1        |   89.96   92.14  8f76_A  45.3 |   85.02   92.38  2r4s_A  17.0
Q8NGH8_OR56A4        |   93.69   86.06  8f76_A  32.6 |   89.07   89.62  7bvq_A  20.1
Q8NGH9_OR52E4        |   89.88   90.56  8f76_A  42.9 |   84.32   91.81  6tq4_B  19.2
Q8NGI0_OR52N2        |   90.88   94.15  8f76_A  39.6 |   86.32   94.73  5jqh_A  15.6
Q8NGI2_OR52N4        |   90.76   93.67  8f76_A  42.7 |   87.60   93.99  6tos_B  16.8
Q8NGI3_OR56B1        |   90.86   85.58  8f76_A  34.3 |   88.43   86.78  7bvq_A  17.6
Q8NGI4_OR4D11        |   88.50   88.87  8f76_A  26.7 |   89.23   87.97  3uzc_A  18.0
Q8NGI6_OR4D10        |   86.48   90.48  8f76_A  26.7 |   85.04   90.75  6tq4_B  19.6
Q8NGI7_OR10V1        |   90.35   91.67  8f76_A  29.8 |   91.44   91.51  3uzc_A  21.0
Q8NGI8_OR5AN1        |   92.80   90.62  8f76_A  27.3 |   90.59   90.27  2r4s_A  16.7
Q8NGI9_OR5A2         |   92.36   92.17  8f76_A  26.9 |   87.49   91.58  3uzc_A  19.4
Q8NGJ0_OR5A1         |   93.40   92.43  8f76_A  27.6 |   91.38   92.90  2r4s_A  18.7
Q8NGJ1_OR4D6         |   88.73   89.09  8f76_A  26.1 |   89.43   89.12  7bvq_A  19.7
Q8NGJ2_OR52H1        |   90.43   89.54  8f76_A  40.0 |   84.24   89.54  6tp3_A  18.8
Q8NGJ3_OR52E1        |   91.25   89.56  8f76_A  43.2 |   84.27   88.85  6tq4_B  18.2
Q8NGJ4_OR52E2        |   91.71   88.67  8f76_A  40.9 |   85.75   89.28  3vg9_A  17.8
Q8NGJ5_OR51L1        |   93.46   92.26  8f76_A  47.3 |   87.61   93.90  2r4s_A  20.3
Q8NGJ6_OR51A4        |   92.32   91.21  8f76_A  47.9 |   87.40   92.16  7bvq_A  20.1
Q8NGJ7_OR51A2        |   91.65   89.86  8f76_A  47.0 |   88.71   90.88  7bvq_A  19.8
Q8NGJ8_OR51S1        |   91.77   90.60  8f76_A  34.7 |   86.72   91.27  7sus_A  17.6
Q8NGJ9_OR51T1        |   92.07   91.39  8f76_A  41.6 |   90.86   90.73  6kuy_A  17.1
Q8NGK0_OR51G2        |   91.86   92.76  8f76_A  54.5 |   85.79   93.37  6tos_B  19.7
Q8NGK1_OR51G1        |   93.11   92.68  8f76_A  46.4 |   87.81   93.38  6tq4_B  17.4
Q8NGK2_OR52B4        |   92.18   89.90  8f76_A  40.8 |   86.87   90.50  3vg9_A  20.1
Q8NGK3_OR52K2        |   89.97   89.93  8f76_A  46.8 |   83.81   91.31  3vg9_A  18.8
Q8NGK4_OR52K1        |   90.21   89.48  8f76_A  47.8 |   85.25   90.58  3pwh_A  18.5
Q8NGK5_OR52M1        |   92.52   90.41  8f76_A  47.3 |   87.56   91.40  6tp3_A  18.0
Q8NGK6_OR52I1        |   91.04   90.48  8f76_A  38.0 |   85.69   91.70  3vg9_A  19.1
Q8NGK9_OR5D16        |   93.73   91.29  8f76_A  25.6 |   90.73   91.80  6tos_B  15.2
Q8NGL0_OR5L2         |   92.28   91.04  8f76_A  26.0 |   87.00   90.63  2r4s_A  17.7
Q8NGL1_OR5D18        |   93.71   91.49  8f76_A  27.2 |   88.82   91.30  2r4s_A  17.3
Q8NGL2_OR5L1         |   91.10   91.07  8f76_A  27.0 |   86.68   90.83  2r4s_A  17.7
Q8NGL3_OR5D14        |   94.16   91.85  8f76_A  26.1 |   91.69   92.24  7bvq_A  17.8
Q8NGL4_OR5D13        |   93.17   92.39  8f76_A  25.5 |   89.59   92.07  5n2s_A  18.2
Q8NGL6_OR4A15        |   91.29   92.87  8f76_A  26.7 |   85.79   93.02  2r4s_A  17.4
Q8NGL7_OR4P4         |   91.65   93.77  8f76_A  25.6 |   90.35   93.70  3vg9_A  19.2
Q8NGL9_OR4C16        |   85.34   90.00  8f76_A  26.5 |   82.62   90.11  3uzc_A  20.3
Q8NGM1_OR4C15        |   90.73   90.99  8f76_A  27.8 |   91.46   89.56  3vg9_A  19.9
Q8NGM8_OR6M1         |   91.86   90.59  8f76_A  25.6 |   93.06   91.16  3uzc_A  19.8
Q8NGM9_OR8D4         |   93.67   92.98  8f76_A  28.0 |   90.01   93.05  3vg9_A  18.2
Q8NGN0_OR4D5         |   90.65   90.46  8f76_A  28.3 |   88.74   89.60  3uzc_A  19.8
Q8NGN1_OR6T1         |   90.36   82.82  8f76_A  25.7 |   89.99   82.15  6tos_B  16.4
Q8NGN2_OR10S1        |   92.48   88.41  8f76_A  26.6 |   91.23   89.58  3uzc_A  18.1
Q8NGN3_OR10G4        |   91.64   90.27  8f76_A  30.5 |   91.02   90.00  3uzc_A  19.9
Q8NGN4_OR10G9        |   91.14   89.63  8f76_A  30.9 |   90.67   89.31  3vg9_A  20.6
Q8NGN5_OR10G8        |   90.13   90.49  8f76_A  28.9 |   93.45   90.02  3uzc_A  19.0
Q8NGN6_OR10G7        |   89.34   90.65  8f76_A  29.6 |   91.28   89.94  3vg9_A  21.9
Q8NGP0_OR4C13        |   89.25   89.58  8f76_A  26.5 |   90.94   89.10  3vg9_A  18.4
Q8NGP2_OR8J1         |   94.84   91.61  8f76_A  26.6 |   92.45   92.52  2r4s_A  19.0
Q8NGP3_OR5M9         |   90.41   88.76  8f76_A  25.5 |   80.71   90.60  5uig_A  22.3
Q8NGP4_OR5M3         |   90.47   90.40  8f76_A  28.0 |   83.67   90.43  3uzc_A  19.9
Q8NGP6_OR5M8         |   94.53   91.70  8f76_A  28.6 |   89.28   92.05  7bvq_A  19.9
Q8NGP8_OR5M1         |   92.06   91.81  8f76_A  27.0 |   88.44   91.57  3uzc_A  20.3
Q8NGP9_OR5AR1        |   92.10   92.83  8f76_A  25.5 |   88.39   92.72  5jqh_A  18.1
Q8NGQ1_OR9G4         |   94.47   92.74  8f76_A  25.4 |   89.11   92.20  3uzc_A  18.3
Q8NGQ2_OR6Q1         |   92.56   90.88  8f76_A  29.7 |   88.96   90.33  2r4s_A  17.7
Q8NGQ3_OR1S2         |   92.47   91.24  8f76_A  27.4 |   89.30   91.40  3uzc_A  19.4
Q8NGQ4_OR10Q1        |   93.32   92.01  8f76_A  25.4 |   90.38   91.87  6tos_B  19.1
Q8NGQ5_OR9Q1         |   90.86   90.44  8f76_A  24.2 |   90.66   89.88  6me8_B  18.1
Q8NGQ6_OR9I1         |   91.74   91.91  8f76_A  27.4 |   87.87   91.59  5n2s_A  17.5
Q8NGR1_OR13A1        |   93.32   86.93  8f76_A  26.2 |   84.12   86.63  3uzc_A  18.3
Q8NGR2_OR1L6         |   94.51   93.14  8f76_A  26.5 |   89.51   92.77  3vg9_A  17.9
Q8NGR3_OR1K1         |   91.92   89.93  8f76_A  31.0 |   88.58   89.63  7bvq_A  19.3
Q8NGR4_OR5C1         |   92.52   90.91  8f76_A  25.3 |   88.31   90.73  6tq4_B  17.2
Q8NGR5_OR1L4         |   94.52   92.86  8f76_A  29.6 |   89.93   92.70  3vg9_A  19.6
Q8NGR6_OR1B1         |   91.58   89.52  8f76_A  27.7 |   84.22   89.03  6lpj_A  18.9
Q8NGR8_OR1L8         |   89.39   88.64  8f76_A  29.1 |   90.06   88.55  7bvq_A  21.0
Q8NGR9_OR1N2         |   92.64   92.65  8f76_A  28.5 |   87.35   92.76  3uzc_A  20.3
Q8NGS0_OR1N1         |   92.08   93.35  8f76_A  29.3 |   90.34   93.49  3uzc_A  19.6
Q8NGS1_OR1J4         |   91.27   91.81  8f76_A  28.4 |   89.76   91.47  3uzc_A  19.2
Q8NGS2_OR1J2         |   90.84   93.09  8f76_A  27.8 |   89.28   92.79  3vg9_A  19.2
Q8NGS3_OR1J1         |   91.40   91.94  8f76_A  27.0 |   83.63   91.62  3vg9_A  18.6
Q8NGS4_OR13F1        |   93.32   92.26  8f76_A  27.3 |   89.53   92.69  3uzc_A  19.4
Q8NGS5_OR13C4        |   90.76   89.82  8f76_A  29.6 |   91.86   90.34  4bvn_A  18.2
Q8NGS6_OR13C3        |   91.05   86.70  8f76_A  27.4 |   88.10   86.73  7xrr_A  17.0
Q8NGS7_OR13C8        |   91.98   89.26  8f76_A  29.7 |   91.07   89.21  6tos_B  18.8
Q8NGS8_OR13C5        |   92.24   83.14  8f76_A  27.0 |   88.93   82.76  4amj_B  20.1
Q8NGS9_OR13C2        |   90.50   90.35  8f76_A  28.3 |   90.52   90.34  6tos_B  19.2
Q8NGT0_OR13C9        |   92.67   90.37  8f76_A  29.2 |   90.53   90.74  2r4s_A  19.2
Q8NGT1_OR2K2         |   86.54   91.97  8f76_A  26.6 |   87.21   90.79  3zpq_B  18.7
Q8NGT2_OR13J1        |   92.21   87.94  8f76_A  27.9 |   89.78   88.36  3uzc_A  19.6
